listing_id,reviews_total,reviews_last_365d
2384,257,10
7126,595,47
10945,129,24
12140,19,3
28749,265,37
71930,141,18
94450,39,9
145659,77,0
145690,87,1
189821,712,40
207218,321,2
207351,49,1
220333,8,2
225314,32,2
233933,220,31
250354,35,0
264547,63,0
345075,304,14
350347,823,55
372929,326,26
404792,227,6
464581,649,2
507517,455,37
542067,319,14
584590,57,3
634310,158,21
640841,112,15
651742,130,13
662034,111,14
681842,33,3
697634,162,2
726376,905,59
729566,5,0
732569,161,4
739495,218,1
755701,33,3
863120,174,19
929914,517,19
931105,22,0
960326,498,46
966137,41,0
979841,374,40
979926,410,43
979942,367,33
983640,318,33
1020810,43,2
1027463,11,0
1083987,17,1
1185749,388,16
1195259,225,11
1242709,17,1
1304049,126,2
1321332,121,5
1356190,510,49
1361421,40,0
1392594,36,4
1461451,214,13
1502674,161,27
1502700,16,0
1554433,199,0
1573401,464,53
1584422,59,8
1591370,217,13
1614802,420,42
1663673,461,40
1759266,100,13
1769731,39,11
1772920,25,6
1773021,62,18
1773025,45,12
1810118,381,10
1837153,60,1
1854000,155,0
1869568,10,9
1921670,364,23
1939467,5,0
1984545,4,0
2011301,318,28
2062638,236,14
2103986,180,11
2298310,68,5
2396340,577,53
2437230,112,9
2479175,306,25
2499596,199,10
2564678,6,0
2695259,162,0
2844042,212,42
2874486,298,30
2907500,402,34
3031898,246,1
3053081,556,53
3068787,219,33
3083343,161,16
3088192,541,72
3167664,53,2
3172794,93,9
3267902,452,48
3292054,354,64
3308694,148,15
3329088,174,22
3376665,75,13
3385966,191,1
3394750,130,21
3434136,176,0
3445991,7,1
3453656,48,5
3517984,514,46
3570616,160,1
3590692,49,2
3638744,50,4
3639045,6,0
3742513,180,13
3761023,102,7
3783533,366,3
3792844,15,4
3809530,103,0
3811926,551,27
3897045,38,0
3924599,8,0
3962072,155,20
3970529,107,0
3979320,61,45
3979385,388,37
4083903,3,0
4096995,38,3
4105283,212,0
4150121,521,13
4156913,302,69
4243309,422,30
4243905,53,0
4257285,112,21
4264117,25,6
4278818,23,2
4335812,13,0
4365466,124,9
4370895,96,0
4394093,36,0
4417718,29,3
4457161,106,7
4567558,131,0
4592031,160,14
4632510,167,4
4662201,28,0
4730797,144,10
4731523,103,9
4786970,70,1
4793938,91,0
4803582,157,2
4840199,40,3
4840753,38,0
4852830,343,8
4872152,279,11
4923963,29,0
5014976,38,0
5074013,411,32
5102125,325,49
5117490,199,5
5195252,177,0
5205377,289,4
5210927,544,47
5231461,277,29
5283285,156,1
5297152,246,14
5321981,55,0
5359984,139,14
5406217,290,42
5496659,110,5
5537682,306,34
5571262,169,17
5576191,53,15
5645139,248,27
5785758,33,2
5804791,31,2
5805991,27,0
5807478,25,7
5847065,265,17
5850897,38,2
5851115,503,5
5874798,369,32
5996942,209,22
6039038,198,11
6045978,65,13
6051322,6,0
6053269,20,0
6057908,467,44
6065318,631,86
6086065,86,2
6103492,20,3
6133986,45,0
6153674,40,0
6363328,259,15
6365974,47,1
6374350,259,42
6374890,72,4
6378085,125,27
6386641,71,31
6423299,403,45
6447131,198,3
6472628,50,0
6480445,349,50
6504170,660,38
6515667,88,1
6528643,68,0
6528832,85,0
6528867,81,0
6528967,52,0
6553226,270,41
6576714,162,19
6588681,551,46
6612044,442,51
6634916,223,18
6644005,45,0
6654182,78,3
6673071,27,0
6686012,568,50
6713251,37,0
6716477,56,0
6716705,60,0
6724355,127,1
6736478,4,0
6750168,239,1
6757098,235,0
6768827,15,1
6780171,56,0
6782452,497,68
6790448,33,8
6793653,65,1
6853688,49,0
6853914,58,1
6854069,84,0
6855475,91,10
6863046,64,1
6863178,103,0
6866384,4,1
6897078,280,27
6945901,79,34
6957805,623,46
6967492,12,0
6975132,104,0
6990105,834,85
6993421,122,3
6994290,76,0
7025225,286,7
7092080,42,0
7176158,356,46
7274926,80,27
7360731,25,2
7370245,94,1
7384649,35,0
7389646,251,28
7421326,134,18
7509321,359,38
7562307,26,0
7564825,155,10
7572706,201,26
7573465,100,10
7575577,51,4
7582520,486,44
7602989,538,49
7617158,135,37
7646381,26,1
7678127,363,27
7692835,445,53
7713352,77,1
7718819,16,3
7760721,16,1
7772110,260,34
7783924,341,32
7810030,599,32
7825273,84,0
7825308,61,0
7875516,12,0
7896539,154,6
7906341,8,0
7919400,238,29
7975015,84,16
7982764,100,1
7989457,181,23
8031382,255,17
8051756,21,5
8098937,69,21
8098969,81,15
8151461,206,15
8181598,225,21
8229081,163,12
8272970,148,12
8339990,175,32
8384692,20,2
8472766,21,3
8564722,190,27
8617633,237,30
8706915,884,70
8718913,202,33
8735904,122,22
8743145,279,2
8743754,43,0
8770382,279,15
8780493,17,0
8802052,360,13
8859482,30,0
8889577,64,0
8918966,99,0
8936446,54,11
8953380,231,21
8988738,82,0
9007351,373,37
9049864,370,22
9059696,196,0
9078918,442,26
9088488,199,22
9115645,131,0
9165281,147,11
9319078,362,29
9342355,92,0
9406789,92,7
9452418,167,4
9487892,69,10
9587656,2,0
9588999,175,62
9590401,105,3
9610654,8,0
9637023,105,17
9645880,122,6
9679005,15,0
9690523,534,51
9708726,72,0
9825135,197,20
9995220,42,2
10014344,212,24
10034077,37,0
10070422,70,4
10071396,84,4
10072035,95,2
10100747,450,58
10100835,73,8
10101026,70,3
10131101,299,18
10227627,207,0
10254486,418,53
10280979,27,0
10392060,131,5
10411427,540,61
10518084,166,17
10547772,296,2
10548699,233,5
10649603,1,0
10863022,147,15
10879699,97,0
10945786,129,1
10980810,1,1
10997225,409,45
11146518,29,1
11146814,209,0
11205769,86,8
11207835,41,3
11240415,342,20
11276504,573,58
11316564,64,18
11456952,38,0
11459685,295,25
11476089,56,0
11588346,80,58
11609854,33,1
11637237,514,55
11698006,201,36
11866232,43,0
11902507,183,20
11904373,320,16
11965767,509,46
11983838,57,4
12021281,248,35
12070222,77,32
12093618,250,34
12095628,74,0
12153109,33,3
12159371,210,0
12243431,66,1
12268349,41,2
12268908,43,1
12330769,93,4
12334385,222,0
12451721,109,4
12507128,355,39
12536277,281,45
12543743,18,3
12581064,117,19
12588033,24,7
12623279,83,0
12684163,85,2
12714714,266,26
12727728,8,1
12759999,106,14
12869290,9,0
12871814,215,2
12874125,232,2
12932496,654,62
12950970,290,43
12956671,37,3
13014320,427,43
13062802,575,34
13080765,14,0
13128883,36,0
13137589,72,3
13148936,85,5
13149571,300,19
13207526,132,26
13247627,36,2
13295757,45,2
13311675,145,8
13343525,373,26
13373997,431,37
13390160,294,19
13414718,264,25
13416789,621,56
13453259,335,24
13478467,277,22
13493868,277,27
13509392,153,8
13522012,528,59
13531342,47,0
13621242,524,54
13623907,4,0
13635380,545,52
13648548,149,2
13648600,184,2
13648645,140,0
13656154,334,61
13656318,523,70
13666998,143,18
13713501,340,37
13743298,175,22
13746300,37,1
13768369,45,2
13824783,285,5
13884932,48,5
13893848,70,9
13915441,88,31
13928644,128,19
13953306,235,32
13961352,106,8
13972956,15,0
14016520,86,13
14058443,423,2
14081954,221,45
14085322,672,53
14089727,154,3
14092623,10,4
14115665,52,0
14115706,47,0
14115711,37,0
14141704,14,1
14141861,31,2
14144295,414,33
14166242,832,60
14197548,453,45
14238448,526,68
14296844,339,0
14298102,31,1
14349670,362,34
14357876,48,6
14382622,3,0
14429433,136,4
14431243,94,6
14437950,128,0
14449619,334,22
14531526,192,14
14539561,311,31
14556304,291,30
14588581,178,3
14595303,195,3
14611960,125,16
14631349,106,19
14692738,38,2
14741430,363,28
14774756,180,17
14806237,60,1
14820957,31,0
14859319,12,2
14871197,247,32
14883494,68,4
15011149,26,3
15024671,88,9
15053294,294,22
15094729,282,18
15114450,131,25
15115673,278,26
15116890,309,3
15130764,181,2
15132653,265,37
15149053,156,22
15166761,61,0
15216905,34,10
15217088,89,0
15230450,129,22
15256715,309,33
15328919,90,0
15342084,398,45
15355696,125,2
15360554,378,47
15379201,65,7
15406710,25,4
15420226,42,0
15484924,492,13
15496152,361,34
15500042,106,13
15549085,265,30
15578702,5,0
15597127,179,2
15599810,244,48
15643384,7,2
15658650,198,14
15659073,380,48
15669026,334,29
15678106,138,0
15694333,326,36
15701920,80,22
15744964,227,1
15758556,21,0
15771536,120,6
15804772,167,19
15853679,100,5
15871357,327,19
15904833,55,7
15911102,572,60
15954582,411,43
15983050,334,26
16001987,145,23
16012260,114,25
16026075,239,10
16039792,63,17
16040153,176,5
16052779,98,8
16070011,112,18
16229723,451,39
16246568,265,12
16346266,108,10
16353883,81,17
16365205,258,27
16453692,261,35
16599263,170,5
16630783,19,4
16662423,55,9
16687380,108,13
16749331,160,37
16757056,262,33
16781530,274,25
16823279,367,50
16917705,12,12
17098971,12,0
17168028,131,15
17170225,137,24
17191860,264,15
17191957,162,2
17207282,161,4
17221782,5,0
17329552,23,0
17366144,223,0
17382991,101,1
17383973,702,1
17399529,9,0
17424708,224,7
17438902,604,70
17460467,152,0
17464924,168,6
17465173,181,9
17514102,63,0
17600522,136,15
17626341,310,35
17638039,157,20
17795412,506,40
17824940,270,17
17831075,140,2
17832768,90,6
17890798,69,5
17892626,60,0
17906826,109,20
17920957,331,37
17923236,373,13
17956375,13,2
18040546,481,25
18060003,73,2
18061472,307,20
18077204,261,27
18091194,297,52
18194698,119,25
18224208,368,39
18272559,30,4
18301586,101,7
18331520,21,6
18345065,361,41
18431594,323,53
18432523,165,24
18473660,25,3
18509024,259,20
18549762,11,11
18601472,129,24
18636662,230,12
18638839,201,17
18687892,293,40
18722151,134,2
18822176,114,9
18854028,213,8
18856449,149,16
18871593,72,6
18876938,40,1
18918084,207,5
18926227,9,0
18941958,65,0
18978187,295,29
19000293,133,13
19018922,17,0
19044554,60,0
19088115,52,0
19123858,578,60
19124180,622,57
19131659,95,7
19136596,206,17
19144279,70,15
19158517,344,13
19208339,163,31
19242274,287,37
19263774,78,13
19399921,73,20
19412268,207,10
19414085,169,0
19424810,576,64
19432136,5,0
19454398,111,12
19474637,7,0
19483555,32,3
19485349,1,1
19551521,70,11
19554215,82,6
19574382,175,22
19586298,444,42
19658989,348,29
19662106,292,18
19672865,67,0
19728643,187,18
19730133,259,31
19739402,16,0
19747110,175,35
19759186,120,0
19799074,27,10
19802859,28,6
19840767,23,4
19856765,267,38
19891950,377,38
19914093,289,2
19944137,455,58
19947376,215,32
19952780,206,25
19964263,131,0
19969586,189,32
19984762,218,25
19998637,233,25
20026411,238,15
20053035,673,1
20176345,50,0
20181953,99,22
20208487,119,12
20227969,107,15
20293109,69,0
20294580,148,2
20319676,394,35
20360882,62,6
20361494,147,21
20378811,130,23
20379610,368,32
20381591,368,50
20406582,521,54
20419957,10,0
20425593,176,26
20427016,235,0
20438390,171,27
20454673,227,40
20458572,515,58
20489897,30,30
20497895,393,37
20498813,311,41
20524028,398,54
20539979,16,16
20543019,273,19
20586078,417,47
20601137,261,21
20641086,35,6
20647880,151,21
20649033,385,57
20650575,61,0
20679988,199,21
20689785,93,18
20712959,290,44
20756430,34,0
20757313,97,9
20759671,73,11
20796999,377,3
20818822,293,25
20834078,157,7
20834660,304,31
20901369,137,32
20933786,13,3
20947233,393,46
20985600,141,0
21013562,319,34
21028123,3,0
21028700,122,14
21110208,131,3
21149807,147,9
21157736,230,20
21161463,80,9
21169118,443,59
21175666,201,19
21177789,281,27
21178038,217,25
21250973,172,6
21252535,167,1
21254658,75,6
21263727,124,2
21263821,175,5
21272387,309,46
21282070,516,1
21289942,15,1
21321497,30,8
21356462,278,47
21422893,271,55
21472684,82,12
21486813,293,49
21488226,253,30
21539533,308,28
21551769,58,31
21563403,143,17
21603579,48,9
21636681,110,1
21665919,1,0
21681234,375,33
21686505,20,9
21696464,24,2
21700360,17,0
21700748,27,0
21712790,45,2
21748100,397,30
21764694,18,2
21772526,168,31
21783531,335,43
21784716,213,21
21817363,435,4
21839421,161,0
21856463,172,33
21860008,24,0
21862111,306,46
21862235,286,52
21879603,355,47
21900672,127,21
21912531,81,8
21922221,6,0
21933351,277,29
22045956,276,42
22078823,55,5
22101398,120,1
22106578,261,25
22109063,121,3
22120161,52,3
22143927,99,3
22148940,236,32
22150002,146,2
22287352,49,6
22307184,145,12
22320384,14,0
22352557,83,0
22358244,162,12
22389768,448,49
22397026,102,0
22398218,123,11
22399540,540,62
22435069,32,6
22470517,301,45
22470940,120,28
22478199,107,21
22553014,55,1
22559934,188,11
22583075,91,0
22586737,31,0
22588022,37,0
22598312,227,14
22599315,17,0
22627276,14,3
22634134,22,9
22713192,4,0
22752271,355,19
22770609,39,5
22827281,352,0
22833440,160,27
22886177,315,60
22909826,463,64
22923422,163,36
22946590,1,0
22986604,208,27
22999010,67,12
23076088,16,0
23122592,181,26
23123158,86,10
23146021,310,30
23167825,415,50
23233115,224,37
23234733,147,0
23248272,243,36
23293249,558,44
23403435,1,0
23453052,130,13
23488460,7,0
23503260,377,37
23526921,181,35
23549428,253,41
23578326,184,0
23588293,53,0
23590263,232,25
23593143,139,17
23628273,178,33
23629667,455,59
23658333,255,0
23669582,289,50
23683187,11,2
23683517,167,0
23684890,347,26
23687181,50,0
23744056,40,0
23758477,4,4
23768638,303,19
23799502,360,63
23844764,167,19
23850772,36,5
23944951,223,6
24010772,368,75
24011334,162,19
24061425,140,24
24066022,270,3
24085799,206,3
24179656,25,0
24209632,169,0
24222166,194,0
24242931,110,15
24288027,437,74
24326633,301,34
24332190,103,20
24340435,179,7
24447062,316,50
24486718,169,3
24489653,17,1
24499092,163,0
24541340,122,16
24563245,195,29
24598724,220,16
24620399,34,2
24621194,26,0
24625012,25,1
24625296,28,0
24626961,74,6
24631726,135,22
24631833,99,12
24672882,216,25
24689136,360,45
24694181,55,11
24697393,100,20
24747364,66,1
24751573,283,61
24754767,213,29
24783093,154,0
24798790,42,3
24801073,44,4
24842628,34,4
24865372,456,49
24884473,234,27
24885019,295,33
24894665,75,6
24908843,199,27
24916539,265,22
24916674,218,28
24921452,77,14
24922509,228,20
24931653,61,2
24944885,260,30
24965357,200,25
25006252,203,19
25011303,229,36
25015036,6,2
25015520,660,58
25055595,50,0
25055793,11,5
25064515,15,0
25069194,38,2
25079342,37,10
25092696,11,0
25092958,14,0
25108100,418,33
25167438,251,26
25179364,81,4
25179867,207,22
25185122,5,0
25185506,324,35
25186495,298,38
25191782,219,29
25226706,47,3
25232674,150,16
25233798,312,23
25238570,183,25
25256823,146,27
25278191,64,0
25292554,568,68
25293703,120,10
25315844,84,22
25318166,197,23
25364755,632,71
25364757,622,71
25374641,32,23
25376091,199,19
25424970,132,28
25452222,127,8
25500677,35,9
25512227,138,0
25555626,124,2
25674914,223,20
25682427,146,12
25688221,1,1
25714121,92,17
25738384,17,3
25770575,114,13
25802231,260,26
25808833,118,18
25861262,298,45
25894475,286,10
25895701,136,38
25920781,147,18
25940510,419,38
25944899,64,8
25969163,16,16
25969271,21,21
25984142,216,22
26029969,132,25
26034464,363,44
26039928,140,52
26111681,129,13
26133988,22,6
26138093,61,8
26198663,80,0
26199959,31,1
26234572,123,12
26253486,110,24
26296254,14,0
26337715,144,3
26402837,27,0
26428768,230,9
26476402,252,40
26500795,242,25
26579870,105,18
26638174,207,30
26638729,193,17
26700761,119,19
26713916,222,15
26776933,20,4
