listing_id,reviews_total,reviews_last_365d
2539,9,0
2595,47,0
6848,197,4
6872,2,1
6990,250,3
7064,13,0
7097,423,30
7801,12,0
8490,189,0
9357,58,0
10452,82,1
12192,315,2
12937,464,35
12940,81,3
14314,177,1
15341,43,3
15385,63,4
15396,5,0
16338,32,0
16580,668,62
16821,294,57
16974,291,0
17037,53,0
18152,146,0
18728,251,1
18961,1,0
19174,68,1
19812,58,0
20913,164,0
21456,79,0
21644,3,0
21794,36,0
23135,317,0
23545,214,0
24285,93,0
25406,29,0
25696,190,4
26785,479,1
27883,25,0
28907,19,0
29013,78,4
29628,500,51
31130,75,0
31555,30,0
31902,4,0
31994,633,39
32037,92,0
33009,300,2
36647,102,0
38663,43,0
38833,278,47
39282,286,13
39593,36,2
39704,336,0
42300,70,0
42729,219,0
44229,230,0
45542,18,0
45910,13,0
45936,137,3
46544,57,0
46911,77,4
49048,31,3
52689,128,27
53469,33,0
53470,5,0
53477,16,0
54508,226,35
54544,144,1
54694,62,0
54860,306,2
55959,129,13
55982,41,0
56859,273,2
57166,168,4
57297,295,0
57618,130,0
57874,394,5
58059,688,3
59014,60,0
59121,4,0
60181,37,0
60457,9,0
60611,197,1
60666,283,2
60673,3,0
60680,168,0
60794,4,0
61406,2,0
62925,173,1
63610,57,0
63657,266,0
64314,46,0
64365,257,0
65615,56,0
65660,164,0
66008,67,0
66251,174,4
66974,250,3
67299,91,7
68735,38,0
68974,248,0
71384,48,0
72190,37,0
74680,269,1
74860,3,0
75635,423,1
75658,20,0
77765,72,4
79067,11,0
80684,11,1
80700,10,0
81739,2,0
82638,286,3
82928,83,1
83243,252,2
83474,5,0
84010,40,5
93313,173,0
94783,173,16
96471,11,0
98663,18,0
100002,150,0
100186,126,3
100368,39,0
101053,36,0
103311,8,0
103555,284,0
105469,16,0
106363,478,7
106647,124,1
106906,12,0
107630,352,0
112304,1,0
112435,178,0
113265,279,5
115535,34,0
115748,42,1
116551,185,2
118061,97,3
125163,94,0
128975,133,2
135465,136,1
136493,55,9
139624,86,0
140133,193,0
141335,41,0
142069,22,0
144087,30,0
144148,32,0
146726,18,0
148201,18,0
148259,114,0
148825,313,3
150804,95,17
150989,19,0
151199,557,33
152263,399,27
152819,94,0
157673,90,0
158061,27,0
162493,57,0
162508,31,0
166006,191,2
166172,61,0
166983,6,0
170420,15,0
170761,328,71
171562,32,0
173151,261,0
174966,25,0
176135,31,0
177495,5,0
177606,130,0
179670,128,0
182069,130,4
187986,2,0
188674,63,0
188803,62,10
189135,196,18
189181,1,0
189787,102,0
190968,35,0
190974,313,0
191610,170,21
195123,229,0
195240,90,0
195989,230,0
198744,133,0
199733,134,1
200955,21,0
201992,106,0
202273,70,0
203901,8,0
204065,115,0
205485,158,0
206316,4,0
206957,125,0
208148,14,0
208889,67,2
212544,9,0
213330,98,21
214917,1,0
216080,156,1
217580,12,0
219066,38,1
219922,36,0
220563,58,0
222304,38,0
223930,19,0
225354,11,0
225976,102,3
227495,114,5
228317,92,0
228925,8,0
230877,130,5
231154,31,0
232612,584,46
232775,4,0
233638,24,0
235552,39,0
235651,85,0
235951,162,2
236788,40,0
239733,57,0
245544,121,0
245574,300,13
246351,5,0
248865,36,0
248966,41,0
249618,4,0
249704,29,4
249867,7,0
250323,48,0
250536,11,0
251277,210,1
252865,5,0
253332,26,9
253466,48,0
253471,31,0
253475,100,0
253800,51,5
253803,42,0
253806,49,0
253811,73,0
253828,12,0
253839,10,2
253842,14,0
253846,35,2
254168,5,0
255476,52,2
255601,313,29
255957,26,0
257097,43,2
258688,55,0
258690,9,0
258740,143,0
258930,4,0
260755,35,0
261674,19,0
262405,75,0
262478,11,0
263005,129,0
265145,8,0
265506,11,0
266449,86,4
266753,90,0
267435,25,0
267652,64,4
268335,1,0
268481,1,0
269283,32,0
269404,19,0
270139,39,0
270231,285,0
270345,36,0
271083,131,0
271694,19,0
272026,22,1
274743,1,0
276021,2,0
276317,185,0
279857,264,27
281521,1,0
281851,145,2
283550,10,0
286838,101,0
287408,75,0
287845,136,4
288726,60,3
289665,157,0
289703,5,0
292800,117,2
294227,49,0
294242,93,4
294259,195,11
294263,162,3
