feature,mean_abs_shap
accommodates,0.35252875
reviews_per_month,0.12862037
latitude,0.09617446
longitude,0.079326384
minimum_nights,0.076615945
room_Private room,0.047569286
neigh_78701,0.042956956
amenities_count,0.042490967
availability_365,0.025889212
demand_score,0.021519138
review_density,0.016956784
neigh_78704,0.0147621855
number_of_reviews,0.014054106
room_Entire home/apt,0.014035868
neigh_78705,0.006866744
neigh_78702,0.00498784
neigh_78703,0.004389737
neigh_78741,0.003655379
neigh_78751,0.0030742532
neigh_78746,0.0023589719
neigh_78724,0.0023491906
neigh_78758,0.001459019
neigh_78723,0.0014565227
neigh_78722,0.0014004507
room_Hotel room,0.0012561603
neigh_78744,0.0012428112
neigh_78731,0.0006620105
neigh_78759,0.0005227852
neigh_78756,0.0005194684
neigh_78752,0.0005193088
neigh_78745,0.00047099194
neigh_OTHER,0.00046216877
room_Shared room,0.00044994004
neigh_78757,0.00043633062
neigh_78749,0.00014364184
neigh_78727,0.00014199357
neigh_78734,0.00013419102
neigh_78754,0.000119860844
neigh_78721,0.00011691824
neigh_78737,6.4305365e-05
neigh_78729,6.3904095e-05
neigh_78747,5.695672e-05
neigh_78748,4.209367e-05
neigh_78753,2.4735229e-05
neigh_78728,6.8739078e-06
