feature,coefficient,p_value,r_squared
const,4.959092238250937,0.0,0.5349072002431393
accommodates,0.11863290332964084,0.0,0.5349072002431393
amenities_count,0.0008690233173550887,0.005869851151449074,0.5349072002431393
availability_365,-0.0001244442028610002,0.005634531441087088,0.5349072002431393
reviews_per_month,-0.07358259551215401,1.608110739075081e-103,0.5349072002431393
minimum_nights,-0.0014658539669152215,5.009841347846314e-09,0.5349072002431393
room_Hotel room,0.29144823234512013,0.0011775785828685762,0.5349072002431393
room_Private room,-0.413247027753263,1.7398890224825572e-132,0.5349072002431393
room_Shared room,-1.4668317242332203,5.11473071067892e-110,0.5349072002431393
neigh_78702,-0.4341704081614915,2.3913479168387083e-78,0.5349072002431393
neigh_78703,-0.2576593580289369,5.000127191117547e-18,0.5349072002431393
neigh_78704,-0.33353728554175494,1.3497742576580315e-51,0.5349072002431393
neigh_78705,-0.7083873839261807,9.744878687726974e-104,0.5349072002431393
neigh_78723,-0.6633643879045957,2.166432741401511e-92,0.5349072002431393
neigh_78741,-0.7459966572861996,1.8657752766776529e-153,0.5349072002431393
neigh_78744,-0.6790940694769293,1.1015334179458176e-96,0.5349072002431393
neigh_78745,-0.6658754468855679,3.5418639790804404e-128,0.5349072002431393
neigh_78758,-0.6619114896966134,6.861095426317691e-91,0.5349072002431393
neigh_OTHER,-0.5726115844978852,5.486714983046627e-187,0.5349072002431393
