feature,importance
accommodates,0.45501373107170634
availability_365,0.1265266239729192
amenities_count,0.1223863950892177
reviews_per_month,0.11015727923137085
minimum_nights,0.06521580750271477
room_Private room,0.02364746380681533
neigh_78704,0.016518905273563034
neigh_OTHER,0.014733137333102166
room_Shared room,0.01101730602591938
neigh_78745,0.008140638241720883
neigh_78741,0.008028883413851716
neigh_78702,0.007997390908883118
neigh_78705,0.007590055353197037
neigh_78703,0.006858003883269927
neigh_78723,0.005092281089300904
neigh_78744,0.004719987929630538
neigh_78758,0.003866637914179093
room_Hotel room,0.0024894719586378987
