city,neighbourhood,listing_count,mean_price,median_price,iqr,cv
chicago,Albany Park,70,139.28571428571428,102.5,85.75,0.7331805263169546
chicago,Archer Heights,5,289.6,90.0,24.0,1.6425807719457581
chicago,Armour Square,93,148.53763440860214,140.0,181.0,0.6947908041149011
chicago,Ashburn,9,178.11111111111111,137.0,129.0,0.44709542878854075
chicago,Auburn Gresham,26,169.92307692307693,178.0,139.75,0.5653927356912773
chicago,Austin,63,155.96825396825398,129.0,100.5,0.8180960846166939
chicago,Avalon Park,5,203.2,218.0,24.0,0.18113311746727181
chicago,Avondale,184,151.94565217391303,120.0,71.75,0.9294632449407481
chicago,Belmont Cragin,44,163.63636363636363,132.5,75.5,0.6780843759455911
chicago,Beverly,18,188.44444444444446,105.0,113.5,1.003670796629153
chicago,Bridgeport,175,107.11428571428571,93.0,94.5,0.7790174136074614
chicago,Brighton Park,32,96.28125,85.5,71.0,0.9769628315834151
chicago,Burnside,3,144.66666666666666,151.0,38.5,0.26881610708575726
chicago,Calumet Heights,18,164.5,126.0,176.75,0.5744761260915827
chicago,Chatham,18,184.16666666666666,165.0,192.75,0.5325770936973915
chicago,Chicago Lawn,7,136.28571428571428,134.0,67.0,0.3718013244097962
chicago,Clearing,11,227.9090909090909,167.0,244.5,0.6141247168212528
chicago,Douglas,101,152.33663366336634,115.0,55.0,1.042327427475595
chicago,Dunning,33,171.72727272727272,141.0,93.0,0.5907150102609712
chicago,East Garfield Park,103,113.36893203883496,79.0,96.5,0.7947181910781983
chicago,East Side,14,60.285714285714285,42.5,41.75,0.8804683319230995
chicago,Edgewater,159,166.0817610062893,138.0,97.0,0.7295236836024811
chicago,Edison Park,1,70.0,70.0,0.0,
chicago,Englewood,44,77.5,43.0,38.5,1.3636522531466881
chicago,Forest Glen,5,122.6,94.0,86.0,0.5951137720941879
chicago,Fuller Park,6,166.83333333333334,150.5,51.25,0.6768123757298812
chicago,Gage Park,6,87.33333333333333,86.0,8.0,0.10385607698636254
chicago,Garfield Ridge,11,143.27272727272728,144.0,65.0,0.6357049807022348
chicago,Grand Boulevard,133,186.69924812030075,144.0,111.0,0.7121422206838731
chicago,Greater Grand Crossing,40,129.95,92.5,91.5,0.7717924243351982
chicago,Hegewisch,6,96.16666666666667,84.0,46.25,0.39588092076564646
chicago,Hermosa,29,161.41379310344828,134.0,94.0,0.7307544030009178
chicago,Humboldt Park,96,138.375,106.0,91.5,0.7160199544738122
chicago,Hyde Park,88,131.47727272727272,106.5,38.75,0.6240101980338589
chicago,Irving Park,163,144.21472392638037,126.0,71.0,0.7190067474816908
chicago,Jefferson Park,45,135.0888888888889,109.0,50.0,0.6629708139058303
chicago,Kenwood,63,107.55555555555556,88.0,57.5,0.6340872541410474
chicago,Lake View,517,241.64796905222437,170.0,200.0,0.8023820422241428
chicago,Lincoln Park,266,253.22932330827066,208.5,165.5,0.6601677535622903
chicago,Lincoln Square,108,134.7037037037037,115.5,69.5,0.5137672386429889
chicago,Logan Square,425,179.4329411764706,133.0,96.0,0.96960505266288
chicago,Loop,469,293.6439232409382,221.0,145.0,0.721004314608152
chicago,Lower West Side,206,134.1893203883495,115.0,93.0,0.823833850031486
chicago,Mckinley Park,42,95.21428571428571,68.5,76.0,0.9511593790951385
chicago,Montclare,9,110.44444444444444,86.0,63.0,0.43024988721277213
chicago,Morgan Park,9,124.88888888888889,140.0,73.0,0.44355463805061146
chicago,Mount Greenwood,2,162.0,162.0,63.0,0.5499719409228703
chicago,Near North Side,883,302.5696489241223,230.0,163.5,0.7662803717082671
chicago,Near South Side,251,253.82868525896416,213.0,85.5,0.4947656948556059
chicago,Near West Side,557,234.71992818671455,205.0,148.0,0.7476348911087923
chicago,New City,33,65.6969696969697,32.0,60.0,0.94029499805781
chicago,North Center,126,193.03174603174602,157.0,80.75,0.813799657954612
chicago,North Lawndale,59,112.61016949152543,77.0,106.0,0.7019673069951897
chicago,North Park,22,129.5,94.5,57.0,0.9063969667750209
chicago,Norwood Park,40,120.6,97.0,114.5,0.9806670593726413
chicago,Oakland,16,203.1875,141.0,121.5,0.8454154330372617
chicago,Ohare,10,133.5,103.0,63.25,0.5389124276695505
chicago,Portage Park,82,131.6951219512195,103.5,40.75,0.7711493814903375
chicago,Pullman,13,105.53846153846153,110.0,78.0,0.5468141954279857
chicago,Rogers Park,159,129.54088050314465,102.0,57.5,0.7573479423684193
chicago,Roseland,21,180.8095238095238,185.0,60.0,0.3357202359920271
chicago,South Chicago,32,72.71875,31.0,54.25,1.1870829266755953
chicago,South Deering,8,133.125,120.5,139.75,0.6310681496028782
chicago,South Lawndale,43,103.46511627906976,96.0,60.0,0.4359474369147123
chicago,South Shore,113,134.61946902654867,106.0,122.0,0.8203407000314316
chicago,Uptown,164,158.28658536585365,114.5,79.0,0.8092049007712087
chicago,Washington Heights,13,151.3846153846154,110.0,65.0,0.6779208169123653
chicago,Washington Park,41,130.78048780487805,126.0,92.0,0.5797477338602561
chicago,West Elsdon,2,90.5,90.5,4.5,0.07032001138871743
chicago,West Englewood,19,90.3157894736842,63.0,61.5,0.7126887677189384
chicago,West Garfield Park,19,146.3684210526316,62.0,83.5,1.4585110013624225
chicago,West Lawn,12,117.5,101.0,105.0,0.685386249407581
chicago,West Pullman,7,142.42857142857142,140.0,50.0,0.5401635871489754
chicago,West Ridge,104,128.5096153846154,108.0,66.25,0.7712303028068929
chicago,West Town,690,218.71014492753622,165.0,136.5,0.8841006786052459
chicago,Woodlawn,198,105.78282828282828,85.0,84.75,0.6912558458884492
