feature,coefficient,p_value,r_squared
const,4.715971799166459,0.0,0.6042497406562024
accommodates,0.08594940745442012,0.0,0.6042497406562024
amenities_count,0.0044082404008010155,2.945611068198911e-38,0.6042497406562024
availability_365,0.00011600475529667943,0.005748413829485884,0.6042497406562024
reviews_per_month,-0.025322966879239045,2.9637853904901614e-19,0.6042497406562024
minimum_nights,-0.0008366882164378884,0.00012127795041806707,0.6042497406562024
room_Hotel room,0.48974484550993935,8.063980020210726e-10,0.6042497406562024
room_Private room,-0.5875440992244637,0.0,0.6042497406562024
room_Shared room,-1.227512046328306,2.136805145963753e-59,0.6042497406562024
neigh_Lincoln Park,0.05599862273367096,0.08376262723943338,0.6042497406562024
neigh_Logan Square,-0.24825114627923367,1.4538407179812662e-18,0.6042497406562024
neigh_Loop,0.2999763754109465,3.3979107498083083e-28,0.6042497406562024
neigh_Lower West Side,-0.39076454465950355,4.419300925106735e-29,0.6042497406562024
neigh_Near North Side,0.26517879720537085,8.838033530232696e-28,0.6042497406562024
neigh_Near South Side,-0.00030919010834815075,0.9927168194414613,0.6042497406562024
neigh_Near West Side,0.0625389728816283,0.018218123936351215,0.6042497406562024
neigh_OTHER,-0.34830442986300464,4.707085636753626e-63,0.6042497406562024
neigh_West Town,-0.15239807372248756,1.1927222587575426e-09,0.6042497406562024
neigh_Woodlawn,-0.4570729384457392,6.497651609265032e-37,0.6042497406562024
