feature,importance
room_Private room,0.33680742467687363
accommodates,0.17958617308884883
availability_365,0.12756436668712798
amenities_count,0.1074363104265999
reviews_per_month,0.07597005594571456
neigh_OTHER,0.059160656262466645
minimum_nights,0.04371413789158226
neigh_Near North Side,0.012500779746213027
room_Shared room,0.010142479466040844
neigh_Loop,0.007588763687062087
neigh_Woodlawn,0.00623282504247595
neigh_West Town,0.005905364051823599
neigh_Near West Side,0.005646544883643069
neigh_Logan Square,0.005562124870406465
neigh_Lincoln Park,0.005516216371037548
neigh_Lower West Side,0.005406284717690857
neigh_Near South Side,0.0037217941560146136
room_Hotel room,0.0015376980283781328
