city,month_num,month,weekday_num,weekday,avg_price,availability_rate
losangeles,1,Jan,0,Mon,148.0,0.5734013381594822
losangeles,1,Jan,1,Tue,148.0,0.6658330591203246
losangeles,1,Jan,2,Wed,148.0,0.5863332236481299
losangeles,1,Jan,3,Thu,148.0,0.5647910496873971
losangeles,1,Jan,4,Fri,148.0,0.5876604146100691
losangeles,1,Jan,5,Sat,148.0,0.5966875068553252
losangeles,1,Jan,6,Sun,148.0,0.5695842930788637
losangeles,2,Feb,0,Mon,148.0,0.5865196884940221
losangeles,2,Feb,1,Tue,148.0,0.598914116485686
losangeles,2,Feb,2,Wed,148.0,0.5700449709334211
losangeles,2,Feb,3,Thu,148.0,0.5736974882088406
losangeles,2,Feb,4,Fri,148.0,0.6362838653065701
losangeles,2,Feb,5,Sat,148.0,0.5843588899857409
losangeles,2,Feb,6,Sun,148.0,0.5853350882965888
losangeles,3,Mar,0,Mon,148.0,0.5872326423165515
losangeles,3,Mar,1,Tue,148.0,0.5974662717999342
losangeles,3,Mar,2,Wed,148.0,0.569353954151585
losangeles,3,Mar,3,Thu,148.0,0.5697049468026764
losangeles,3,Mar,4,Fri,148.0,0.6002413074476253
losangeles,3,Mar,5,Sat,148.0,0.5854776790610947
losangeles,3,Mar,6,Sun,148.0,0.6005484260173303
losangeles,4,Apr,0,Mon,148.0,0.5960952067566085
losangeles,4,Apr,1,Tue,148.0,0.5840956454974224
losangeles,4,Apr,2,Wed,148.0,0.6115937260063617
losangeles,4,Apr,3,Thu,148.0,0.5863770977295163
losangeles,4,Apr,4,Fri,148.0,0.5841285510584622
losangeles,4,Apr,5,Sat,148.0,0.5507634979939078
losangeles,4,Apr,6,Sun,148.0,0.5584807247827753
losangeles,5,May,0,Mon,148.0,0.5302950628104003
losangeles,5,May,1,Tue,148.0,0.543354541675992
losangeles,5,May,2,Wed,148.0,0.5944279916639246
losangeles,5,May,3,Thu,148.0,0.5895140945486453
losangeles,5,May,4,Fri,148.0,0.6172096084238237
losangeles,5,May,5,Sat,148.0,0.5843698585060876
losangeles,5,May,6,Sun,148.0,0.5660853350882966
losangeles,6,Jun,0,Mon,148.0,0.6200504551935944
losangeles,6,Jun,1,Tue,148.0,0.5821871229571131
losangeles,6,Jun,2,Wed,148.0,0.5618624547548535
losangeles,6,Jun,3,Thu,148.0,0.5064620533257007
losangeles,6,Jun,4,Fri,148.0,0.6634550701994227
losangeles,6,Jun,5,Sat,148.0,0.5933750137106504
losangeles,6,Jun,6,Sun,148.0,0.5923000987166831
losangeles,7,Jul,0,Mon,148.0,0.5948447954370956
losangeles,7,Jul,1,Tue,148.0,0.5928704617747066
losangeles,7,Jul,2,Wed,148.0,0.6199407699901284
losangeles,7,Jul,3,Thu,148.0,0.5823297137216189
losangeles,7,Jul,4,Fri,148.0,0.5628276845453548
losangeles,7,Jul,5,Sat,148.0,0.5268866920598575
losangeles,7,Jul,6,Sun,148.0,0.6635852700562029
losangeles,8,Aug,0,Mon,148.0,0.5642755292311067
losangeles,8,Aug,1,Tue,148.0,0.5383429842136551
losangeles,8,Aug,2,Wed,148.0,0.6627172710110019
losangeles,8,Aug,3,Thu,148.0,0.5960952067566085
losangeles,8,Aug,4,Fri,148.0,0.5939453767686739
losangeles,8,Aug,5,Sat,148.0,0.6193923439727981
losangeles,8,Aug,6,Sun,148.0,0.586135790281891
losangeles,9,Sep,0,Mon,148.0,0.5904793243391466
losangeles,9,Sep,1,Tue,148.0,0.6160359767467368
losangeles,9,Sep,2,Wed,148.0,0.5874629812438302
losangeles,9,Sep,3,Thu,148.0,0.5657891850389383
losangeles,9,Sep,4,Fri,148.0,0.545285746787321
losangeles,9,Sep,5,Sat,148.0,0.6623700713929215
losangeles,9,Sep,6,Sun,148.0,0.5948447954370956
losangeles,10,Oct,0,Mon,148.0,0.6659822189213395
losangeles,10,Oct,1,Tue,148.0,0.5892947241417132
losangeles,10,Oct,2,Wed,148.0,0.5893166611824064
losangeles,10,Oct,3,Thu,148.0,0.6186355160688823
losangeles,10,Oct,4,Fri,148.0,0.5881430295053197
losangeles,10,Oct,5,Sat,148.0,0.5659866184051772
losangeles,10,Oct,6,Sun,148.0,0.5469131011050007
losangeles,11,Nov,0,Mon,148.0,0.5860919162005046
losangeles,11,Nov,1,Tue,148.0,0.5662498628934957
losangeles,11,Nov,2,Wed,148.0,0.5464370589740777
losangeles,11,Nov,3,Thu,148.0,0.6690358670615334
losangeles,11,Nov,4,Fri,148.0,0.5755401996270703
losangeles,11,Nov,5,Sat,148.0,0.5939234397279807
losangeles,11,Nov,6,Sun,148.0,0.6250850060326862
losangeles,12,Dec,0,Mon,148.0,0.5972359328726555
losangeles,12,Dec,1,Tue,148.0,0.6291872326423166
losangeles,12,Dec,2,Wed,148.0,0.5823955248436986
losangeles,12,Dec,3,Thu,148.0,0.5657343424372052
losangeles,12,Dec,4,Fri,148.0,0.5451062118386897
losangeles,12,Dec,5,Sat,148.0,0.667741581660634
losangeles,12,Dec,6,Sun,148.0,0.5720302731161566
