feature,coefficient,p_value,r_squared
const,5.135798437050267,0.0,1.0
accommodates,-2.4794958295749903e-15,0.0,1.0
amenities_count,7.519280879365875e-17,2.2740325508378312e-30,1.0
availability_365,3.107594476886577e-17,2.1704274722148127e-308,1.0
reviews_per_month,-1.5587262925699508e-14,0.0,1.0
minimum_nights,-7.134473811428246e-17,1.487554716571346e-91,1.0
room_Private room,-0.7537718023763814,0.0,1.0
room_Shared room,-1.4722367909206138,0.0,1.0
neigh_Beverly Hills,-6.266281981151534e-16,0.593046613988726,1.0
neigh_Downtown,-2.1946962476537824e-16,0.8457059649440526,1.0
neigh_Hollywood,-1.3290285755598874e-15,0.2061547444302592,1.0
neigh_Hollywood Hills,-2.3883618607140056e-16,0.847568746315556,1.0
neigh_Long Beach,-1.8938301447890549e-16,0.8548179815871018,1.0
neigh_OTHER,-1.8289948548744217e-15,0.03992795282953159,1.0
neigh_Pasadena,-5.839106325192245e-17,0.9616582792583485,1.0
neigh_Santa Monica,8.306072843411449e-16,0.45340932687726787,1.0
neigh_Venice,2.2104849417906025e-16,0.8366011148718566,1.0
neigh_West Hollywood,5.633107912419999e-16,0.6155417018192697,1.0
