feature,importance
room_Private room,0.8792171183908442
room_Shared room,0.12078288160827208
amenities_count,3.019203880881228e-13
availability_365,2.532706477763212e-13
minimum_nights,1.1114489038938299e-13
reviews_per_month,6.326884862897719e-14
accommodates,3.4526034324516203e-14
neigh_Santa Monica,3.0803296110922014e-14
neigh_West Hollywood,2.005605041715965e-14
neigh_Long Beach,1.6843277915942144e-14
neigh_OTHER,1.3866948085598292e-14
neigh_Venice,1.2445152691070729e-14
neigh_Beverly Hills,1.1686032802898475e-14
neigh_Downtown,8.091734939468664e-15
neigh_Hollywood,5.9308380876722855e-15
neigh_Hollywood Hills,0.0
neigh_Pasadena,0.0
