quantile,term,coefficient,p_value
0.25,Intercept,3.825160894405599,0.0
0.25,C(city)[T.chicago],0.09619370085329138,4.242274052013942e-76
0.25,C(city)[T.losangeles],0.6947973181158886,0.0
0.25,C(city)[T.nashville],0.3043965685656076,0.0
0.25,C(city)[T.neworleans],-0.006677394092548639,0.21720037046961088
0.25,C(city)[T.newyork],0.522065379399919,0.0
0.25,C(room_type)[T.Hotel room],0.21140945809975165,3.7477005152842895e-125
0.25,C(room_type)[T.Private room],-0.5654789110967613,0.0
0.25,C(room_type)[T.Shared room],-1.145673401621707,0.0
0.25,accommodates,0.1126756034761911,0.0
0.25,C(city)[T.chicago]:accommodates,-0.009059659955227062,1.3800684160621003e-43
0.25,C(city)[T.losangeles]:accommodates,-0.058280698750422744,0.0
0.25,C(city)[T.nashville]:accommodates,-0.045729888103210214,0.0
0.25,C(city)[T.neworleans]:accommodates,0.005557210662544776,5.412551918995852e-17
0.25,C(city)[T.newyork]:accommodates,0.003931642887209819,5.975991320460639e-10
0.25,availability_365,-0.00011335623512209736,0.0
0.25,number_of_reviews,-1.1959232396385744e-05,0.0036617271189229375
0.25,amenities_count,0.0023029541934249664,3.988212626000425e-225
0.25,C(city)[T.chicago]:amenities_count,0.0031630514372977814,1.0927718292519964e-160
0.25,C(city)[T.losangeles]:amenities_count,-0.0017843359787264035,2.904674791940179e-111
0.25,C(city)[T.nashville]:amenities_count,0.0012072101696531945,1.867225111400034e-27
0.25,C(city)[T.neworleans]:amenities_count,0.0006460408717430255,2.0368856193075525e-08
0.25,C(city)[T.newyork]:amenities_count,-0.0023030168025712783,2.8025183010911034e-161
0.25,price_per_person,0.006045911792107006,0.0
0.5,Intercept,3.942577244971744,0.0
0.5,C(city)[T.chicago],0.16063231774296582,0.0
0.5,C(city)[T.losangeles],0.47676835484435287,0.0
0.5,C(city)[T.nashville],0.34771889408330026,0.0
0.5,C(city)[T.neworleans],0.18016373917907913,0.0
0.5,C(city)[T.newyork],0.22576533580377145,0.0
0.5,C(room_type)[T.Hotel room],0.13285410857463376,2.978565789593059e-94
0.5,C(room_type)[T.Private room],-0.4841313285985507,0.0
0.5,C(room_type)[T.Shared room],-1.1182677937104017,0.0
0.5,accommodates,0.13503243454327674,0.0
0.5,C(city)[T.chicago]:accommodates,-0.014422500809786243,1.5885251239717758e-231
0.5,C(city)[T.losangeles]:accommodates,-0.05809343062838934,0.0
0.5,C(city)[T.nashville]:accommodates,-0.060194585501321285,0.0
0.5,C(city)[T.neworleans]:accommodates,-0.013223914877826815,9.747387499406942e-191
0.5,C(city)[T.newyork]:accommodates,0.03248011295529807,0.0
0.5,availability_365,-1.6501954488989945e-07,0.9366779598581274
0.5,number_of_reviews,-1.0153509805155281e-07,0.973329435229531
0.5,amenities_count,0.0011005952157887577,6.783193828921321e-90
0.5,C(city)[T.chicago]:amenities_count,0.0015893242189548573,8.707830282897158e-74
0.5,C(city)[T.losangeles]:amenities_count,-0.0010991575169612133,3.8062897599082865e-75
0.5,C(city)[T.nashville]:amenities_count,0.0009975077393704623,6.215333695145054e-32
0.5,C(city)[T.neworleans]:amenities_count,-0.0006276362591677298,3.4479271171771387e-12
0.5,C(city)[T.newyork]:amenities_count,-0.0007011198177622191,4.385733556973339e-28
0.5,price_per_person,0.007322903436726591,0.0
0.75,Intercept,4.022005863389495,0.0
0.75,C(city)[T.chicago],-0.000833933925605379,0.8041888301257945
0.75,C(city)[T.losangeles],0.27323181760220905,0.0
0.75,C(city)[T.nashville],0.18143028126996796,0.0
0.75,C(city)[T.neworleans],0.11512726074397506,1.8568291860640138e-206
0.75,C(city)[T.newyork],-0.024921025385992834,3.850343330460485e-24
0.75,C(room_type)[T.Hotel room],0.0004009024892184243,0.9431066242503231
0.75,C(room_type)[T.Private room],-0.43860677184784436,0.0
0.75,C(room_type)[T.Shared room],-0.9331927250726721,0.0
0.75,accommodates,0.16031890464158494,0.0
0.75,C(city)[T.chicago]:accommodates,-0.008749674312895195,1.3309561111608661e-171
0.75,C(city)[T.losangeles]:accommodates,-0.06692261763839724,0.0
0.75,C(city)[T.nashville]:accommodates,-0.054114778058306,0.0
0.75,C(city)[T.neworleans]:accommodates,-0.016340200067475052,0.0
0.75,C(city)[T.newyork]:accommodates,0.053664318504729636,0.0
0.75,availability_365,8.409893580141325e-09,0.9962879595600957
0.75,number_of_reviews,2.8587003597646543e-09,0.9991211092609698
0.75,amenities_count,-0.00037991162281514335,1.8074593352045353e-13
0.75,C(city)[T.chicago]:amenities_count,0.0023955112942388723,9.517233350502641e-192
0.75,C(city)[T.losangeles]:amenities_count,0.0003803121207113236,9.538873571331845e-12
0.75,C(city)[T.nashville]:amenities_count,0.001722658060032245,3.804233606170534e-108
0.75,C(city)[T.neworleans]:amenities_count,0.0003799089765834651,7.575204932284816e-06
0.75,C(city)[T.newyork]:amenities_count,0.000381782016603438,1.2529717652451672e-10
0.75,price_per_person,0.009888564968530744,0.0
