city,neighbourhood,listing_count,mean_price,median_price,iqr,cv
nashville,District 1,39,192.48717948717947,163.0,120.0,0.6520841961903908
nashville,District 10,40,163.225,106.0,82.25,1.0486904623188915
nashville,District 11,59,190.54237288135593,126.0,123.0,0.8194879629885149
nashville,District 12,48,92.875,54.0,99.75,1.0062043947009744
nashville,District 13,93,145.63440860215053,117.0,72.0,1.053760802223237
nashville,District 14,70,137.68571428571428,109.5,87.5,0.8734484600330077
nashville,District 15,339,166.85545722713863,138.0,91.5,0.5743442777384788
nashville,District 16,120,123.35,111.5,63.75,0.45660639470037445
nashville,District 17,851,235.79905992949472,186.0,157.5,0.7561482101051206
nashville,District 18,194,223.73711340206185,153.5,111.25,1.0392360816174424
nashville,District 19,1452,238.49380165289256,182.0,148.0,0.7976291274200435
nashville,District 2,369,221.41734417344173,197.0,140.0,0.6262428309590055
nashville,District 20,216,176.09722222222223,146.5,104.25,0.7195628790092756
nashville,District 21,651,211.05376344086022,166.0,135.0,0.6931627071929473
nashville,District 22,16,124.8125,101.5,97.75,0.5321750906340614
nashville,District 23,17,294.88235294117646,148.0,99.0,1.3905188214366861
nashville,District 24,92,178.3695652173913,130.5,113.75,0.9396646877986415
nashville,District 25,55,262.0,160.0,194.5,0.9524099721516924
nashville,District 26,45,154.22222222222223,122.0,103.0,0.5108971623960039
nashville,District 27,69,102.69565217391305,77.0,46.0,0.6105315090239086
nashville,District 28,32,143.34375,105.0,104.0,0.8655897286835685
nashville,District 29,62,113.62903225806451,93.5,73.0,0.5954187551755975
nashville,District 3,76,175.92105263157896,159.5,151.0,0.6431280732435696
nashville,District 30,33,140.66666666666666,104.0,84.0,0.8944707052099752
nashville,District 31,27,127.55555555555556,118.0,72.0,0.49810752175105827
nashville,District 32,8,121.875,65.5,46.5,1.0338409209705348
nashville,District 33,18,113.27777777777777,86.0,113.0,0.7479710428050786
nashville,District 34,9,200.22222222222223,118.0,153.0,0.8315564452271211
nashville,District 35,21,178.76190476190476,125.0,138.0,0.8403531827565046
nashville,District 4,30,159.86666666666667,124.0,42.0,1.2301566808157696
nashville,District 5,683,194.41142020497804,163.0,117.5,0.6490905691224446
nashville,District 6,399,177.18045112781954,147.0,103.0,0.6318136949644833
nashville,District 7,184,144.64673913043478,121.5,92.25,0.5287167161547232
nashville,District 8,148,160.00675675675674,142.5,95.0,0.5851224174025317
nashville,District 9,44,120.63636363636364,120.0,71.75,0.40701486926646174
