city,neighbourhood,listing_count,mean_price,median_price,iqr,cv
neworleans,Algiers Point,43,154.3953488372093,123.0,88.5,0.6957075208375813
neworleans,Audubon,89,239.58426966292134,174.0,174.0,0.9850034136000144
neworleans,Bayou St. John,105,158.65714285714284,125.0,99.0,0.8109528173383027
neworleans,Behrman,10,200.2,123.5,207.25,0.7247551626236037
neworleans,Black Pearl,18,118.55555555555556,102.5,79.75,0.5678083101644688
neworleans,Broadmoor,78,145.39743589743588,120.5,99.0,0.5484091630127708
neworleans,Bywater,203,163.73399014778326,121.0,82.0,0.8524646109284298
neworleans,Central Business District,1078,196.1883116883117,151.0,149.0,0.7580561438856999
neworleans,Central City,552,211.8695652173913,145.0,151.25,0.8927349581533834
neworleans,City Park,43,147.86046511627907,107.0,99.0,0.6751280451149572
neworleans,Desire Area,6,256.8333333333333,183.0,231.0,0.953938470829524
neworleans,Dillard,33,148.8181818181818,107.0,86.0,0.8146494654136401
neworleans,Dixon,1,240.0,240.0,0.0,
neworleans,East Carrollton,47,122.57446808510639,108.0,117.5,0.6665189884265988
neworleans,East Riverside,81,134.88888888888889,108.0,69.0,0.6852645330243957
neworleans,Fairgrounds,80,174.9875,113.5,90.0,1.0647723945158325
neworleans,Fillmore,29,191.0344827586207,158.0,193.0,0.7696732276242184
neworleans,Florida Area,15,125.2,118.0,69.5,0.4415753546466161
neworleans,Florida Dev,3,123.33333333333333,118.0,20.0,0.16643031695503407
neworleans,French Quarter,158,187.84177215189874,148.5,132.25,0.7764943851196235
neworleans,Freret,37,163.97297297297297,121.0,128.0,0.6594829712661384
neworleans,Garden District,19,172.31578947368422,102.0,100.5,0.9532300706062493
neworleans,Gentilly Terrace,53,137.64150943396226,126.0,96.0,0.6081601179446106
neworleans,Gentilly Woods,15,210.73333333333332,120.0,99.0,1.1458194420074552
neworleans,Gert Town,26,96.0,76.5,115.0,0.8035565474812585
neworleans,Hollygrove,19,140.57894736842104,77.0,116.0,0.7960781495328655
neworleans,Holy Cross,39,166.17948717948718,118.0,68.0,1.0221076339340298
neworleans,Irish Channel,93,174.2688172043011,110.0,92.0,1.0330710547625306
neworleans,Lake Catherine,26,288.38461538461536,270.0,119.5,0.47974431778595467
neworleans,Lake Terrace & Oaks,4,127.25,91.5,46.25,0.6347894403535308
neworleans,Lakeshore - Lake Vista,6,56.333333333333336,48.5,24.0,0.4500154637119892
neworleans,Lakeview,24,191.16666666666666,125.5,128.5,0.7857263710000343
neworleans,Lakewood,1,248.0,248.0,0.0,
neworleans,Leonidas,93,139.86021505376345,96.0,88.0,1.2060199954538438
neworleans,Little Woods,36,149.25,101.0,106.25,1.1644590145057805
neworleans,Lower Garden District,352,193.5880681818182,124.0,128.25,1.0182359109929418
neworleans,Lower Ninth Ward,31,119.35483870967742,113.0,54.5,0.6064562830718562
neworleans,Marigny,377,236.85145888594164,162.0,165.0,0.9050724697611876
neworleans,Marlyville - Fontainbleau,45,121.91111111111111,102.0,64.0,0.48781394277727513
neworleans,Mcdonogh,37,121.08108108108108,95.0,74.0,0.6567518209429899
neworleans,Mid-City,355,148.20281690140845,110.0,108.0,0.8337114955243548
neworleans,Milan,93,180.67741935483872,140.0,139.0,0.7731835668967306
neworleans,Milneburg,26,153.3846153846154,100.5,120.75,1.0866147908235404
neworleans,Navarre,20,191.35,167.5,87.75,0.651253854570231
neworleans,New Aurora - English Turn,3,140.33333333333334,68.0,108.5,0.8927672808609178
neworleans,Old Aurora,19,190.94736842105263,162.0,82.5,0.6178788002985799
neworleans,Pines Village,11,71.36363636363636,59.0,62.0,0.6903965009268428
neworleans,Plum Orchard,2,134.0,134.0,70.0,0.7387682788516169
neworleans,Pontchartrain Park,16,212.5625,193.5,86.0,0.743241249940111
neworleans,Read Blvd East,14,314.85714285714283,240.5,350.75,0.797885839954555
neworleans,Read Blvd West,3,269.0,250.0,126.5,0.47422181919286793
neworleans,Seventh Ward,349,158.07163323782234,111.0,120.0,0.8632291265986434
neworleans,St.  Anthony,22,122.5909090909091,100.0,51.75,0.7988225255304661
neworleans,St. Bernard Area,8,140.625,143.0,78.75,0.4372848082512551
neworleans,St. Claude,225,140.57333333333332,111.0,69.0,0.8472400309347209
neworleans,St. Roch,133,138.84962406015038,102.0,84.0,0.7870483277190301
neworleans,St. Thomas Dev,56,189.03571428571428,133.5,128.5,0.747976235016901
neworleans,Tall Timbers - Brechtel,18,198.77777777777777,151.5,75.5,0.8146927808007618
neworleans,Touro,43,279.5581395348837,195.0,228.5,0.8999481963242297
neworleans,Treme - Lafitte,320,182.5375,127.0,114.5,0.996640865056697
neworleans,Tulane - Gravier,164,225.859756097561,183.0,167.0,0.7477677351171156
neworleans,U.S. Naval Base,2,70.0,70.0,18.0,0.36365491603879585
neworleans,Uptown,93,230.21505376344086,150.0,193.0,0.8917288076077399
neworleans,Viavant - Venetian Isles,3,50.666666666666664,50.0,1.0,0.02279014220485367
neworleans,West End,24,174.66666666666666,154.0,90.0,0.6340035184525595
neworleans,West Lake Forest,2,153.5,153.5,35.5,0.32706567729149755
neworleans,West Riverside,96,173.66666666666666,133.0,123.25,0.6444581538522518
neworleans,Whitney,21,200.42857142857142,109.0,143.0,1.2318132864317026
