feature,importance
accommodates,0.3802418093789581
availability_365,0.1748917821231271
amenities_count,0.16312871435414011
reviews_per_month,0.0936796661794043
minimum_nights,0.04517889570928943
room_Private room,0.035065472121730015
neigh_Marigny,0.015164750749171762
neigh_OTHER,0.014852069591721308
neigh_Lower Garden District,0.013874856501965118
neigh_Central Business District,0.012723019341193893
neigh_Central City,0.009956673801870415
neigh_Mid-City,0.009482548876652529
neigh_Seventh Ward,0.008879258941044152
neigh_Treme - Lafitte,0.008465048383150306
neigh_French Quarter,0.006396765196719173
neigh_St. Claude,0.005642722240310636
room_Hotel room,0.0013374265022578597
room_Shared room,0.0010385200072938687
