feature,coefficient,p_value,r_squared
const,4.726531786355169,0.0,0.5039889815445396
accommodates,0.07848049973368454,0.0,0.5039889815445396
amenities_count,0.0045237535667038845,2.533318471715219e-150,0.5039889815445396
availability_365,0.0003726837083381389,1.7457864429858237e-96,0.5039889815445396
reviews_per_month,0.03801454169937297,1.0448989334811278e-100,0.5039889815445396
minimum_nights,-0.001162004041436445,8.97477550268354e-41,0.5039889815445396
room_Hotel room,0.609679513834319,2.305947841754072e-24,0.5039889815445396
room_Private room,-0.6440617641660101,0.0,0.5039889815445396
room_Shared room,-0.9623087569739877,1.4295940848246996e-209,0.5039889815445396
neigh_Bushwick,-0.01715353913274088,0.26326285970053515,0.5039889815445396
neigh_Crown Heights,0.005048998709048109,0.7628923069706282,0.5039889815445396
neigh_East Village,0.25850926385414247,5.368741093237144e-47,0.5039889815445396
neigh_Harlem,0.04549272940910019,0.0018880949088626111,0.5039889815445396
neigh_Hell's Kitchen,0.24967101201917002,8.155460118685583e-59,0.5039889815445396
neigh_Midtown,0.5272257048866849,9.436202931874528e-294,0.5039889815445396
neigh_OTHER,0.1048173275501032,1.2071061728659123e-26,0.5039889815445396
neigh_Upper East Side,0.17761661410753224,4.0309058373282637e-29,0.5039889815445396
neigh_Upper West Side,0.2548605301201122,1.6367807046603647e-59,0.5039889815445396
neigh_Williamsburg,0.1681190380670488,1.4985939369108458e-33,0.5039889815445396
