feature,importance
room_Private room,0.3754831061499578
availability_365,0.16888235101124793
minimum_nights,0.13802966979382358
amenities_count,0.12848814471712802
accommodates,0.07276958799765873
reviews_per_month,0.03942190249114856
room_Shared room,0.017013479013484184
neigh_OTHER,0.013286160974312287
neigh_Midtown,0.010945061268540786
neigh_Hell's Kitchen,0.00721261301917698
neigh_Upper West Side,0.005205481950747945
neigh_Williamsburg,0.004992076646461906
neigh_Upper East Side,0.004655186911820767
neigh_Harlem,0.0036887506634769467
neigh_East Village,0.0033029720697274082
neigh_Crown Heights,0.0029632915815116212
neigh_Bushwick,0.002962021660740573
room_Hotel room,0.0006981420790340736
