city,rows_total,observed_rows,imputed_rows,room_type,observed_rate,imputed_rate
chicago,8624,7789,835,ALL,0.9031771799628943,0.09682282003710575
chicago,6668,6200,468,Entire home/apt,0.9298140371925615,0.07018596280743851
chicago,95,47,48,Hotel room,0.49473684210526314,0.5052631578947369
chicago,1825,1509,316,Private room,0.8268493150684931,0.17315068493150684
chicago,36,33,3,Shared room,0.9166666666666666,0.08333333333333333
newyork,35816,20979,14837,ALL,0.5857438016528925,0.4142561983471074
newyork,19158,11933,7225,Entire home/apt,0.6228729512475206,0.3771270487524794
newyork,66,66,0,Hotel room,1.0,0.0
newyork,16356,8807,7549,Private room,0.5384568354120812,0.46154316458791883
newyork,236,173,63,Shared room,0.7330508474576272,0.2669491525423729
